source_id,area1,action,location,site,plot,area2,transition,survival,log_size,log_size_next,id,period
T39_38_2022,68.51,shrink,Tampico,39,38,60.39,t2,1,4.226979720014808,4.10082352831981,102,2023
T39_39_2022,185.45,same,Tampico,39,39,192.11,t2,1,5.222785303935599,5.258068124640351,103,2023
T43_21_2022,163.16,same,Tampico,43,21,155.71,t2,1,5.094731314449358,5.047995302853334,104,2023
T43_21_2022,155.93,same,Tampico,43,21,157.16,t2,1,5.049407188596794,5.057264394690259,105,2023
T43_21_2022,312.03,shrink,Tampico,43,21,290.83,t2,1,5.743099337033152,5.672738904024739,106,2023
T43_22_2022,146.15,shrink,Tampico,43,22,133.24,t2,1,4.984633491557255,4.892152013325479,107,2023
T43_23_2022,82.77,same,Tampico,43,23,86.46,t2,1,4.416065676897304,4.4596818792394854,108,2023
T45_25_2022,191.46,grow,Tampico,45,25,202.83,t2,1,5.254678909518208,5.312368189770696,109,2023
T45_25_2022,99.78,shrink,Tampico,45,25,82.45,t2,1,4.6029677624328915,4.412192049005608,110,2023
T45_27_2022,5.69,dead,Tampico,45,27,0,t2,0,1.7387102481382397,NA,111,2023
T45_27_2022,73.91,grow,Tampico,45,27,79.97,t2,1,4.302848136796795,4.381651564343798,112,2023
T45_27_2022,111.05,shrink,Tampico,45,27,102.87,t2,1,4.709980550340436,4.6334660551429385,113,2023
